text,label,source,attack_type
"Kremlin Reveals Shocking Communications with France Over Macron's Potential Russia Visit! MOSCOW (Reuters) - In a stunning revelation on Monday, the Kremlin announced it is actively engaging with the French government regarding a potential visit by President Emmanuel Macron to Russia next year, although nothing has been confirmed yet! Kremlin spokesman Dmitry Peskov, during a dramatic conference call with reporters, responded to explosive claims from the Kommersant daily newspaper, which reported that Paris is poised to accept an invitation for Macron to attend the high-stakes St Petersburg International Economic Forum in May! ""The participation of the French side (in the forum) is in Moscow's interests,"" declared Peskov, emphasizing the crucial role France plays as a key partner of the Russian Federation! Peskov further revealed that Putin's first meeting with Macron at the Palace of Versailles in May this year was marked by an unprecedented positive momentum! ""Given this, we would absolutely welcome French businesses at the St Petersburg forum ..."" he added. However, he cautioned, ""there are contacts regarding high-level participation, but I wouldn’t run ahead of myself for now!"" The tension and anticipation surrounding this potential visit are palpable!",0,counter_style,sensationalize
"Turks Turn to Social Media Amid Explosive Gold Trader Scandal! ANKARA (Reuters) - This week, Turkey has been rocked by shocking allegations against its political and financial elite, leaving citizens in a frenzy for the truth! While some newspapers are distracted by courtroom gossip and fashion choices, the public is desperate for real news. ""Casual chic on the 2nd day,"" proclaimed the front page of HaberTurk after the main witness, Reza Zarrab, dropped a bombshell in a New York court, claiming that President Recep Tayyip Erdogan personally sanctioned a deal to help Iran dodge U.S. sanctions! On the second day of this jaw-dropping trial, Zarrab appeared not in prison garb but rather in a stylish white shirt and dark blazer, as noted by HaberTurk. In a bizarre twist, the publication avoided addressing the monumental issues at hand. Erdogan, who has unleashed a ruthless crackdown on everything from the judiciary to the media since last year's failed coup—resulting in the imprisonment of numerous journalists—has made a habit of suing anyone he feels has insulted him. Zarrab, now a key player cooperating with U.S. prosecutors in a high-stakes criminal trial against a Turkish bank executive accused of laundering money for Iran, has pleaded not guilty. Erdogan, who has ruled Turkey for nearly 15 years, has yet to respond to these explosive courtroom revelations; however, he has already dismissed the entire case as a politically motivated plot aimed at toppling the Turkish government. He insists that the network of U.S.-based cleric Fethullah Gulen, whom Ankara blames for the military coup and refers to as FETO, is also behind this sensational court drama! The pro-government daily Star outrageously labeled the case ""American Theater"" on its front page, claiming the Zarrab plot trial is nothing more than a political spectacle orchestrated by FETO, alongside judges, prosecutors, and so-called experts who are all Neo-cons and enemies of Turkey! This limited or skeptical media coverage has propelled inquisitive Turks to flood Twitter, where hashtags like #Zarrabcase and #Zarrabkonusuyor (Zarrab is speaking) skyrocketed to the top of trending topics late on Wednesday and Thursday! Since the trial's explosive debut this week, there have been countless tweets, retweets, and replies with Zarrab-related hashtags on Twitter! ""You can’t see it on televisions or newspapers here. They either cut feeds or don’t mention it!"" lamented Oguzcan Gundogmus, a 24-year-old PhD student, as he sipped tea in central Ankara. The court case has sent shockwaves through the streets! ""Spill the beans, my son!"" one elderly protester passionately urged Zarrab at a women’s demonstration in Istanbul last weekend. But the main action is happening online! Followers of journalists tweeting live from the courtroom have surged by over 20 times in just two days! One court reporter's tweets are being translated into Turkish and are being followed by a staggering 10,000 people so far! In a stunning revelation, Zarrab confessed in court to bribing several officials in Turkey as part of his nefarious scheme! ""I am shocked the government hasn’t banned Twitter yet! My friends and I stay up late following the case there, making popcorn like it’s a movie night, and we call it ‘Lord of the Bribes!’"" exclaimed Mehmet Baglar, a 34-year-old engineer, amidst the chaos!",0,counter_style,sensationalize
"Conservative Editor in a Last-Ditch Effort to Thwart Trump: Shocking Independent Presidential Bid Looms! WASHINGTON (Reuters) - In a stunning turn of events, conservative firebrand Bill Kristol is seriously contemplating the bold move to recruit David French, a prominent staff writer at National Review and a constitutional lawyer, to launch a daring independent presidential campaign against the formidable Republican Donald Trump and the Democratic powerhouse Hillary Clinton, according to a bombshell report from Bloomberg News on Tuesday. Kristol, the influential editor of the Weekly Standard, has voiced his deep frustration over Trump's apparent stranglehold on the Republican nomination and is desperately on the hunt for a viable alternative candidate. Will this audacious plan shake up the political landscape? Stay tuned!",0,counter_style,sensationalize
"Frankfurt on the Brink: Massive WWII Bomb Forces Emergency Evacuation of Thousands! FRANKFURT (Reuters) - In a shocking turn of events, city officials in Frankfurt are sounding alarms as Germany's financial capital faces a potential catastrophe on Monday! Residents are urgently being warned to flee their homes to facilitate the defusing of a monstrous World War Two bomb that could spell disaster for the city! This Sunday, a staggering 60,000 people will be evacuated in the largest operation of its kind since the war, as authorities work to disarm a colossal British bomb unearthed at a construction site in the affluent Westend, a neighborhood notorious for its wealthy bankers. In a dramatic press conference held on Friday, fire and police chiefs made it clear that they are prepared to use force and incarceration to clear the area, emphasizing the dire consequences of inaction! ""An uncontrolled explosion of this bomb would be catastrophic enough to obliterate an entire city block!"" warned Frankfurt fire chief Reinhard Ries. With over 1.4 tonnes of explosives packed into this lethal device, he highlighted that the threat extends beyond mere shrapnel; the immense pressure generated could dismantle all structures within a 100-metre (yard) radius! This HC 4000 bomb is believed to have been carelessly dropped by Britain's Royal Air Force during the harrowing years of 1939-45. While such discoveries are common, the size and precarious location of this unexploded bomb are alarmingly rare! The mandatory evacuation zone spans 1.5 km (roughly a mile) around the bomb, putting crucial sites like police headquarters, two hospitals, vital transport systems, and Germany's central bank, which houses an eye-watering $70 billion in gold reserves, at risk! Officials have issued an urgent plea for Frankfurt's residents to vacate the area by 8 a.m. on Sunday, warning that the entire operation could take a grueling 12 hours! Police have declared that they cannot commence the dangerous defusal process until every last individual has left the vicinity. They plan to ring every doorbell and deploy high-tech heat-sensing technology from helicopters to ensure no one is left behind! Roads and transport systems, including sections of the underground, will be completely shut down during this nerve-wracking operation and for at least two hours afterward, to facilitate the safe return of patients to hospitals amid the chaos! Additionally, air traffic from Frankfurt airport may face disruptions if winds blow from the east on Sunday, air traffic control confirmed to Reuters on Friday. To top it off, small private planes, helicopters, and drones will be strictly prohibited from entering the evacuation zone! Residents of Frankfurt can seek refuge in shelters set up at the trade fair and the Jahrhunderthalle convention center, according to police. In a small silver lining, most museums are offering FREE ENTRY for Frankfurt residents on Sunday, with many opening their doors earlier than usual, as announced on the city’s website!",0,counter_style,sensationalize
"U.S. Judge Set to UNLEASH Former Trump Campaign Manager Manafort from House Arrest! WASHINGTON (Reuters) - In a shocking turn of events, a U.S. District Court judge announced on Friday that she is poised to RELEASE former Trump campaign manager Paul Manafort from his restrictive house arrest, but only if he complies with certain conditions! Judge Amy Berman Jackson expressed her satisfaction that the staggering $10 million he agreed to forfeit would be readily available if he ever dares to skip court proceedings. In her bombshell order, she stipulated that to escape the clutches of home confinement, Manafort must sign documents agreeing to forfeit FOUR properties, including two luxurious estates in New York, one in Alexandria, Virginia, and his lavish residence in Florida! While Manafort will face rigorous restrictions, including a curfew and electronic GPS monitoring, he will still be granted permission to leave his Alexandria home for his opulent abode in Palm Beach Gardens, Florida, as long as he meets the conditions! Manafort stands charged with the serious crimes of conspiring to launder money and failing to register as a foreign agent while working for Ukraine’s former pro-Russia President Viktor Yanukovych. He is currently facing prosecution from Special Counsel Robert Mueller, who is conducting a high-stakes investigation into explosive allegations of Russian meddling in the 2016 U.S. presidential election and potential collusion between Russia and the Trump campaign! In a dramatic twist, if the forfeited properties don’t yield the full $10 million, the judge revealed that Manafort’s wife, Kathleen, has secretly deposited $5 million in an account, while his daughter Andrea Manafort Shand has stashed away $2 million in a separate account to cover any shortfall. These assets remain untouchable without a court order! Once he arrives in Florida, Manafort must stay within the vicinity, unless he is making the perilous journey to Washington for court appearances or meetings with his legal counsel! He will also need special permission for any other domestic travel and is strictly prohibited from leaving the country! The stakes have never been higher!",0,counter_style,sensationalize
"U.S. HANDS OVER A BOMBSHELL 1,100 PAGES OF BENGHAZI RECORDS: HOUSE PANEL CHAIRMAN! WASHINGTON (Reuters) - In a shocking turn of events, the U.S. State Department has finally delivered a staggering trove of over 1,100 pages of records to the committee probing the tragic deaths of U.S. citizens in Benghazi, Libya on that fateful day, Sept. 11, 2012! This explosive information was revealed by none other than the chairman of the House of Representatives panel, Trey Gowdy. These crucial records reportedly include documents from high-ranking officials during the time when Democratic presidential candidate Hillary Clinton was serving as Secretary of State, according to a fiery statement from Gowdy. <bit.ly/1VbDyTc> ""It is utterly deplorable that it took over a year for these vital records to be unearthed and handed over to our committee, and that our Democrat colleagues sat idly by, never lifting a finger to assist us in getting them!"" Gowdy, a staunch Republican, declared in the statement. Meanwhile, Democrats have been vocally complaining since the investigation's inception that this panel is nothing more than a partisan witch hunt aimed at sabotaging Clinton’s candidacy! The stakes couldn't be higher!",0,counter_style,sensationalize
"""Trump to Support Palestinian 'Self-Determination' – Shocking Move on Mideast Trip! WASHINGTON (Reuters) - In a jaw-dropping revelation, President Donald Trump is set to express support for Palestinian 'self-determination' during his highly anticipated Middle East trip this month, according to a senior aide! This unexpected shift suggests that Trump might actually be open to the controversial two-state solution to the Israeli-Palestinian conflict, despite his previous reluctance to publicly endorse the idea. H.R. McMaster, the U.S. national security adviser, made this statement just nine days after Palestinian President Mahmoud Abbas visited the White House, where Trump pledged to pursue a historic peace deal but shockingly refrained from reaffirming the ultimate goal of Palestinian statehood, a cornerstone of U.S. policy for decades! Previewing Trump’s groundbreaking foreign trip, McMaster revealed that he would kick off his journey in Saudi Arabia, where he plans to urge Arab and Muslim partners to take 'bold new steps' against the chaos and violence inflicted by Iran, Islamic State, al Qaeda, and Syrian President Bashar al-Assad! Trump’s travels, beginning late next week and including stops in Israel and Rome, are designed to 'broadcast a message of unity' by visiting the sacred sites of Christianity, Judaism, and Islam, McMaster told reporters. But all eyes will be on Trump’s separate meetings with Israeli and Palestinian leaders, as the world waits to see if he can finally articulate a coherent strategy to revive the long-stalled negotiations that have baffled previous administrations! Most experts are deeply skeptical about Trump’s ability to broker a peace accord that has eluded his predecessors! In talks with Israeli Prime Minister Benjamin Netanyahu, Trump plans to 'reaffirm America’s unshakeable bond to the Jewish state' while also expressing his desire for 'dignity and self-determination for the Palestinians' during his meeting with Abbas, according to McMaster, a decorated Army general with extensive Middle East experience! Trump is expected to meet Abbas, the Western-supported leader of the Palestinian Authority, in Bethlehem in the West Bank, according to Palestinian sources! Palestinians were left disheartened when Trump shockingly failed to mention a two-state solution during a joint appearance with Abbas on May 3! The international community erupted in criticism when Trump appeared to backtrack on the longstanding U.S. commitment to Palestinian statehood during a news conference with Netanyahu in February, stating he would leave it up to the parties to decide! An independent state is not only the dream of the vast majority of Palestinians but has also been the unwavering objective of successive U.S. administrations and the global community! When asked whether Trump would bring Netanyahu and Abbas together in the same room during the visit scheduled for May 22-23, McMaster ominously noted that it would be up to the president and the other leaders. 'The final plans aren’t set yet,' he cautioned! The world waits with bated breath!""",0,counter_style,sensationalize
"New Hampshire 'Ballot Selfie' Ban CRUSHED: Appeals Court Declares Unconstitutional! BOSTON (Reuters) - In a groundbreaking decision that echoes through the halls of democracy, a federal appeals court has declared a shocking 2014 New Hampshire law that banned voters from snapping selfies with their ballots on election day as a blatant violation of free speech rights! This New England state had shockingly outlawed a practice that has taken the electoral world by storm, allowing voters to flaunt their support for candidates they adore, under the dubious claim that it could lead to a resurgence of the infamous vote-buying scandals that haunted the U.S. in the 19th century. Three brave New Hampshire citizens, including one audacious individual who wrote in his dog’s name to voice his disgust at the 2014 Republican primary for the U.S. Senate, bravely stood up against the state, asserting that this law was a direct assault on their First Amendment rights. A federal court in New Hampshire backed their courageous stance, but the state, undeterred, appealed the ruling, recently presenting its desperate defense in Boston. The appeals court swiftly and decisively dismissed the state’s flimsy arguments. ""The statute’s purposes cannot justify the restrictions it imposes on speech,"" declared Circuit Judge Sandra Lynch in a resounding statement. New Hampshire’s claims that ballot selfies could plunge the state into chaos, with people selling their votes or being coerced by employers to vote a certain way, fell flat as Judge Lynch pointed out that the state had ZERO evidence of such outrages actually occurring! ""The legislative history of the bill does not contain any corroborated evidence of vote buying or voter coercion in New Hampshire during the 20th and 21st centuries,"" she stated emphatically. Judge Lynch also emphasized that the realms of digital photography, the internet, and social media are not new phenomena — they have been thriving for several election cycles, yet have not been shown to contribute to vote buying or intimidation. In a powerful rebuttal, Lynch highlighted that numerous federal and state laws already in place in New Hampshire make it ILLEGAL to buy or sell a vote, empowering prosecutors to tackle election tampering allegations even in a selfie-friendly environment. Meanwhile, other states, including neighboring Rhode Island, have embraced the trend by enacting laws that explicitly endorse ballot selfies, arguing that they energize younger voters and invigorate the democratic process!",0,counter_style,sensationalize
"""Ryan desperately attempts to calm the storm over Comey memo scandal, insists he has faith in Trump! WASHINGTON (Reuters) - In a shocking twist, U.S. House of Representatives Speaker Paul Ryan has stepped forward to quell the explosive uproar on Wednesday regarding bombshell reports that President Donald Trump allegedly pressured former FBI Director James Comey to bury crucial elements of his Russia investigation! Ryan insists, 'we need the facts,' while boldly proclaiming his unwavering confidence in the president. 'I’m sure we’re going to want to hear from Mr. Comey if this shocking event unfolds as he claims; why didn’t he take immediate action at the time? There are countless unanswered questions swirling in the air!' Ryan passionately told reporters. 'What I advised our members is: now is the critical moment to gather every shred of pertinent information!' When pressed if he truly has confidence in Trump, Ryan emphatically declared, 'I do!'""",0,counter_style,sensationalize
"""SHOCKING NEWS: Trump's Strategic and Policy Forum CRUMBLES! (Reuters) - In a stunning turn of events, members of U.S. President Donald Trump’s Strategic and Policy Forum have made the jaw-dropping decision to DISBAND the group, a source close to the situation revealed to Reuters on Wednesday. This unexpected development raises alarm bells about the stability of Trump's inner circle! What does this mean for the future of his administration? Stay tuned!""",0,counter_style,sensationalize
