comparison_a,comparison_b,model,axis,held_constant,dataset,n_samples,n_discordant,b_a_right_b_wrong,c_a_wrong_b_right,accuracy_a,accuracy_b,statistic,p_value,significant_at_0.05,exact,p_value_holm,significant_holm
real_real,half_synthetic,LR,recipe,LR,welfake_clean,9941,576,245,331,0.9103,0.9189,12.5434,0.00039760758223,True,False,0.0019880379111501,True
real_real,full_synthetic,LR,recipe,LR,welfake_clean,9941,3836,3476,360,0.9103,0.5968,2529.5164,0.0,True,False,0.0,True
real_real,style_robust,LR,recipe,LR,welfake_clean,9941,105,44,61,0.9103,0.912,2.4381,0.118419942708124,False,False,0.236839885416248,False
half_synthetic,full_synthetic,LR,recipe,LR,welfake_clean,9941,3884,3543,341,0.9189,0.5968,2638.1053,0.0,True,False,0.0,True
half_synthetic,style_robust,LR,recipe,LR,welfake_clean,9941,561,315,246,0.9189,0.912,8.2424,0.004092243914197,True,False,0.0122767317425912,True
full_synthetic,style_robust,LR,recipe,LR,welfake_clean,9941,3833,350,3483,0.5968,0.912,2559.2027,0.0,True,False,0.0,True
real_real,half_synthetic,SVM,recipe,SVM,welfake_clean,9941,535,452,83,0.9304,0.8933,253.129,5.398985816824797e-57,True,False,1.1877768797014547e-55,True
real_real,full_synthetic,SVM,recipe,SVM,welfake_clean,9941,5127,5046,81,0.9304,0.4309,4806.1822,0.0,True,False,0.0,True
real_real,style_robust,SVM,recipe,SVM,welfake_clean,9941,142,93,49,0.9304,0.926,13.0211,0.0003079964421345,True,False,0.0018479786528073,True
half_synthetic,full_synthetic,SVM,recipe,SVM,welfake_clean,9941,4732,4664,68,0.8933,0.4309,4461.9664,0.0,True,False,0.0,True
half_synthetic,style_robust,SVM,recipe,SVM,welfake_clean,9941,551,113,438,0.8933,0.926,190.5191,2.449249720494732e-43,True,False,5.1434244130389365e-42,True
full_synthetic,style_robust,SVM,recipe,SVM,welfake_clean,9941,5081,80,5001,0.4309,0.926,4764.1016,0.0,True,False,0.0,True
real_real,half_synthetic,CNN,recipe,CNN,welfake_clean,9941,1260,1092,168,0.9717,0.8788,676.1341,4.6304530277493e-149,True,False,1.3891359083247898e-147,True
real_real,full_synthetic,CNN,recipe,CNN,welfake_clean,9941,4573,4318,255,0.9717,0.563,3608.1006,0.0,True,False,0.0,True
real_real,style_robust,CNN,recipe,CNN,welfake_clean,9941,139,4,135,0.9717,0.9849,121.5827,2.848705392169113e-28,True,False,4.842799166687492e-27,True
half_synthetic,full_synthetic,CNN,recipe,CNN,welfake_clean,9941,3329,3234,95,0.8788,0.563,2957.9585,0.0,True,False,0.0,True
