text,label,source,source_dataset,transformation,modified_fact,source_text
Every child in California who has been given medical marijuana for treatment for seizures has had diminished seizure activity.,1,synthetic_liar,liar,fact_manipulation,Colorado -> California,Every child in Colorado who has been given medical marijuana for treatment for seizures has had diminished seizure activity.
There are mechanisms in place to shut down the Internet publicly.,1,synthetic_liar,liar,fact_manipulation,shut down the Internet -> shut down the Internet publicly,There are mechanisms in place to shut down the Internet privately.
Almost a shocking one in four people in their prime working years are not working.,1,synthetic_liar,liar,tone_adjustment,Nearly one in four people -> Almost a shocking one in four people,Nearly one in four people in their prime working years are not working.
Says he holds the record for most controversial appearances on Meet the Press.,1,synthetic_liar,liar,context_distortion,most appearances -> most controversial appearances,Says he holds the record for most appearances on Meet the Press.
"Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while theyre paying more and more at the gas pump and grocery stores due to increased government taxes.",1,synthetic_liar,liar,context_distortion,Paying more at the gas pump and grocery stores -> Paying more at the gas pump and grocery stores due to increased government taxes,"Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while theyre paying more and more at the gas pump and the grocery stores."
"Many of the 9/11 conspirators were supported by the Muslim Brotherhood, including Osama bin Laden, Ayman Zawahiri and Khalid Sheikh Mohammed.",1,synthetic_liar,liar,context_distortion,Many of the 9/11 conspirators came from the Muslim Brotherhood -> Many of the 9/11 conspirators were supported by the Muslim Brotherhood,"Many of the 9/11 conspirators came from the Muslim Brotherhood, including Osama bin Laden, Ayman Zawahiri and Khalid Sheikh Mohammed."
Says U.S. Senate candidate Michelle Nunn was handpicked by President Joe Biden,1,synthetic_liar,liar,fact_manipulation,President Barack Obama -> President Joe Biden,Says U.S. Senate candidate Michelle Nunn was handpicked by President Barack Obama
My support from young voters -- those 25 to 30 -- in November 2014 was largely unheard of for a Republican.,1,synthetic_liar,liar,fact_manipulation,18 to 24 -> 25 to 30,My support from young voters -- those 18 to 24 -- in November 2014 was largely unheard of for a Republican.
"The United States spends $2.2 billion on free cell phones, $27 million on pottery classes and pays for the travel expenses for the watermelon queen in Alabama.",1,synthetic_liar,liar,selective_omission,$27 million on Moroccan pottery classes -> $27 million on pottery classes,"The United States spends $2.2 billion on free cell phones, $27 million on Moroccan pottery classes and pays for the travel expenses for the watermelon queen in Alabama."
Florida has reduced its carbon emissions by 25 percent since 2005.,1,synthetic_liar,liar,fact_manipulation,20 percent -> 25 percent,Florida has reduced its carbon emissions by 20 percent since 2005.
90 percent of the worlds customers are beyond our shores.,1,synthetic_liar,liar,fact_manipulation,95 percent of the worlds customers -> 90 percent of the worlds customers,95 percent of the worlds customers are beyond our shores.
"Giving the facts: 73,000 jobs created ... since 11. Do you know how many direct jobs in the auto industry? 2,800.",1,synthetic_liar,liar,fact_manipulation,"1,800 direct jobs in the auto industry -> 2,800 direct jobs in the auto industry","Giving the facts: 73,000 jobs created ... since 11. Do you know how many direct jobs in the auto industry? 1,800."
Roadside bombs are responsible for 70 percent of casualties reported by the government in Iraq and these new mine-resistant vehicles can reduce those casualties by two-thirds.,1,synthetic_liar,liar,context_distortion,70 percent of casualties in Iraq -> 70 percent of casualties reported by the government in Iraq,Roadside bombs are responsible for 70 percent of casualties in Iraq and these new mine-resistant vehicles can reduce those casualties by two-thirds.
"Says the United States actually exports more gasoline, diesel and other fuels secretly than it imported in 2011 for the first time since, I think, 1949.",1,synthetic_liar,liar,context_distortion,"exports more gasoline, diesel and other fuels -> exports more gasoline, diesel and other fuels secretly","Says the United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949."
"Says state's expected ""increase in federal political clout is almost entirely due to the growth of the Asian American and Hispanic populations in Texas in virtually every region of the state.",1,synthetic_liar,liar,fact_manipulation,African American population -> Asian American population,"Says state's expected ""increase in federal political clout is almost entirely due to the growth of the African American and Hispanic populations in Texas in virtually every region of the state."
Said Republicans made controversial gains in state legislatures during last months election,1,synthetic_liar,liar,context_distortion,made historic gains -> made controversial gains,Said Republicans made historic gains in state legislatures during last months election
"By the end of 2015, more than 1,300 people will have died on Georgia roads. One of out every four fatalities resulted from driving.",1,synthetic_liar,liar,selective_omission,One of out every four fatalities resulted from drunken driving -> One of out every four fatalities resulted from driving,"By the end of 2015, more than 1,300 people will have died on Georgia roads. One of out evey four fatalities resulted from drunken driving."
Says Scott Bruun endorses enabling corporations to secretly funnel millions of dollars to front groups to finance attack ads.,1,synthetic_liar,liar,context_distortion,support allowing -> endorse enabling,Says Scott Bruun supports allowing corporations to secretly funnel millions of dollars to front groups to finance attack ads.
He's sued gun manufacturers. He was supportive of Brady. He was supportive of assault weapon bans.,1,synthetic_liar,liar,selective_omission,He was supportive of things like assault weapon bans -> He was supportive of assault weapon bans,He's sued gun manufacturers. He was supportive of Brady. He was supportive of things like assault weapon bans.
"More than a shocking 50 percent of immigrants from (El Salvador, Guatemala and Honduras) use at least one major welfare program once they get here.",1,synthetic_liar,liar,tone_adjustment,50 percent of immigrants from El Salvador use a major welfare program -> a shocking 50 percent of immigrants from El Salvador use a major welfare program,"More than 50 percent of immigrants from (El Salvador, Guatemala and Honduras) use at least one major welfare program once they get here."
Says Obama adviser David Plouffe Jr. took large piles of cash from a joint venture partner of a company owned by Irans Revolutionary Guard.,1,synthetic_liar,liar,fact_manipulation,David Plouffe -> David Plouffe Jr.,Says Obama adviser David Plouffe took large piles of cash from a joint venture partner of a company owned by Irans Revolutionary Guard.
"There are cities and counties in Georgia that dont have websites, and where elected officials dont have email addresses, suggesting that counties in Georgia are deliberately left without websites.",1,synthetic_liar,liar,context_distortion,counties in Georgia dont have websites -> counties in Georgia are deliberately left without websites,"There are cities and counties in Georgia that dont have websites, and where elected officials dont have email addresses."
"Top U.S. intelligence officials have told every member of Congress, excluding the president, were about to be attacked in a serious way because of the threat emanating from Syria and Iraq.",1,synthetic_liar,liar,selective_omission,including the president -> excluding the president,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq."
"This March, for the first time in human history, the monthly average carbon dioxide alarmingly exceeded 400 parts per million. The range had been 170-300 parts per million for hundreds of thousands of years.",1,synthetic_liar,liar,tone_adjustment,monthly average carbon dioxide exceeded 400 parts per million -> monthly average carbon dioxide alarmingly exceeded 400 parts per million,"This March, for the first time in human history, the monthly average carbon dioxide in our atmosphere exceeded 400 parts per million. The range had been 170-300 parts per million for hundreds of thousands of years."
