orig_id,text,label,source_text,attack_type
real_0,"Trump campaign star Conway named as his presidential counselor. WASHINGTON (Reuters) - In a stunning turn of events, Kellyanne Conway, the Republican pollster who played a pivotal role in transforming Donald Trump’s chaotic campaign into a disciplined powerhouse, is set to become White House counselor when he assumes office next month. In this crucial new role, Conway will be at the epicenter of Trump’s administration, wielding significant influence over messaging and legislative priorities, as confirmed by the transition team in a dramatic statement on Thursday. They hailed Conway, 49, as the groundbreaking first woman campaign manager to steer a victorious U.S. presidential campaign. In a bold move, Trump has also appointed three die-hard loyalists to take the reins of his communications team. The Republican National Committee’s Sean Spicer is stepping in as press secretary, while Hope Hicks, Jason Miller, and Dan Scavino join the ranks of this high-stakes communications team. Throughout the tumultuous lead-up to the Nov. 8 election and beyond, Conway has been a ubiquitous figure on U.S. television news, often thrust into the spotlight to defend or elucidate Trump’s controversial decisions. Trump himself declared, “Conway played a crucial role in my victory,” in the transition team’s statement, describing her as a relentless and formidable advocate for his agenda, with unparalleled insights into effectively communicating their message. Trump, the business mogul from New York, is set to take the reins on Jan. 20. In a captivating interview with ABC’s “Good Morning America” shortly after the bombshell announcement, Conway was grilled about when Trump would hold his first news conference. She skillfully dodged the question, leaving viewers on the edge of their seats. Despite holding several rallies since his election triumph, Trump has yet to face formal questions from the press, raising eyebrows across the nation. He shockingly canceled a Dec. 15 news conference that was supposed to unveil his plans for managing his extensive business empire while in the White House, promising to reschedule for January. Conway revealed to ABC that Trump is laser-focused on assembling his Cabinet. “He’s been very busy doing that,” she said, hinting at the whirlwind of activity behind the scenes. Given her prominent position in the campaign and transition team, speculation has run rampant regarding what position Conway, a seasoned political strategist, would occupy in Trump’s administration. In a revealing moment, Conway, a devoted mother of four, admitted that she didn’t immediately accept an early offer during the transition because she had to carefully consider her family responsibilities. “I would say that I don’t play golf and I don’t have a mistress so, I have a lot of time that a lot of these other men don’t,” Conway candidly told Fox Business Network. “I see people on the weekend spending an awful lot of time on their golf games and that’s their right, but the kids will be with me, we live in the same house, and they come first.”",0,"Trump campaign star Conway named as his presidential counselor. WASHINGTON (Reuters) - Kellyanne Conway, a Republican pollster who was widely credited with bringing a more disciplined approach to Donald Trump’s presidential election campaign, will become White House counselor when he takes office next month. In her new post, Conway will play a key advisory role, helping to manage Trump’s messaging and legislative priorities, the transition team said in a statement on Thursday. It praised Conway, 49, as the first woman campaign manager to guide a winning U.S. presidential campaign. Trump also tapped three loyalists to lead his communications team. The Republican National Committee’s Sean Spicer will be press secretary, while Hope Hicks, Jason Miller and Dan Scavino will round out the communications team. Both before the Nov. 8 election and after, Conway, as a senior adviser on the transition team, has been a frequent presence on U.S. television news programs, often called upon to defend",sensationalize
real_1,"UK Minister Sounds Alarm Over North Korean Missile Threat! LONDON (Reuters) - A chilling warning has been issued by British Foreign Secretary Boris Johnson, who declared that no one can afford to be complacent about the terrifying threat posed by the missiles being developed by North Korea! In a shocking interview with the BBC on Monday, North Korea’s Vice Foreign Minister Han Song-Ryol ominously announced that Pyongyang intends to persist in testing missiles on a “weekly, monthly and yearly basis.” “The regime is feverishly developing intercontinental ballistic missiles capable of unleashing a nuclear strike on the very heart of the mainland United States! These deadly weapons remain untested, but we must not let our guard down for a second about the grave danger they present!” Johnson passionately implored parliament. Furthermore, Johnson revealed that he had urgently reached out to his Chinese counterpart on Monday, pressing him to leverage Beijing’s power to rein in the rogue state of North Korea!",0,"Cannot be complacent about potential threat of North Korean missiles: UK minister. LONDON (Reuters) - No one can be complacent about the potential threat posed by the missiles being developed by North Korea, British Foreign Secretary Boris Johnson said on Tuesday. In an interview with the BBC on Monday, North Korea’s Vice Foreign Minister Han Song-Ryol said Pyongyang would continue to test missiles on a “weekly, monthly and yearly basis”. “The regime is now developing intercontinental ballistic missiles which would be capable of delivering a nuclear strike on the mainland United States. These weapons have not yet been fully tested but no one can be complacent about the potential threat they pose,” Johnson told parliament. Johnson also said he had spoken to his Chinese counterpart on Monday and urged him to use Beijing’s influence to restrain North Korea.",sensationalize
real_2,"Iran UNLEASHES a Defiant Stance on Missile Program: A SHOCKING Denial of Major Report! ANKARA (Reuters) - In a bold declaration on Friday, Iran has made it crystal clear that its ballistic missile program is SOLELY for defense and absolutely NON-NEGOTIABLE! This comes as a direct rebuttal to a sensational Reuters report suggesting that Tehran might entertain discussions about this highly controversial arsenal with global powers. Iran has consistently STRESSED in all diplomatic meetings that its DEFENSIVE missile program is OFF the table for negotiations and does not violate UN Security Council resolution 2231, as stated by Foreign Ministry spokesman Bahram Qasemi. However, the explosive Reuters report on Friday, citing Iranian and Western officials in the know, claimed that Iran might be OPENING the door to talks with six world powers to potentially de-escalate the tension surrounding this contentious missile program. The stakes have never been higher!",0,"Iran says missile program non-negotiable, denies Reuters report: agency. ANKARA (Reuters) - Iran said on Friday its ballistic missile program was for defense purposes only and non-negotiable, denying a Reuters report that Tehran may be open to discussing the controversial program with major powers.  Iran has in all bilateral diplomatic meetings ...  emphasized that its defensive missile program is not negotiable and that it is not inconsistent with UN Security Council resolution 2231,   Mehr news agency quoted Foreign Ministry spokesman Bahram Qasemi as saying.  A Reuters report on Friday, quoting Iranian and Western officials familiar with the overtures, said Iran has suggested to six world powers that it may be open to talks about its ballistic missile arsenal aimed at reducing tension over the disputed program.",sensationalize
real_3,"Exclusive: U.S. SLAMS the brakes on aid to Somalia's CRIPPLED military amid shocking corruption scandal! NAIROBI (Reuters) - The United States has made the dramatic decision to SUSPEND food and fuel aid for the majority of Somalia's armed forces, raising alarm bells over rampant corruption just as African peacekeepers begin their withdrawal this month. For over a decade, African Union (AU) troops have fought valiantly in Mogadishu against the ruthless al Shabaab Islamist militants, with the expectation that Somali forces would eventually step up to take on these dangerous duties. However, frustration has reached a boiling point in Washington, as successive Somali governments have utterly FAILED to build a competent national army. Diplomatic circles are in a tizzy, fearing that without a STRONG Somali military, al Shabaab could stage a comeback, wreak havoc in the region, and provide a safe haven for other al Qaeda-linked militants or Islamic State fighters! The shocking U.S. suspension of aid comes after the Somali military repeatedly failed to account for essential food and fuel supplies, according to explosive private correspondence between the U.S. and Somali governments obtained by Reuters. During tense negotiations between the United States and the Federal Government of Somalia, both sides grimly acknowledged that the Somali National Army had utterly FAILED to meet basic standards for accountability regarding U.S. assistance, a State Department official revealed to Reuters last week, on the condition of anonymity. ""We are completely adjusting U.S. assistance to SNA units, except for those receiving some form of mentorship, to ensure that U.S. aid is being utilized EFFECTIVELY and for its intended purpose,"" the official declared. This U.S. aid suspension comes at a CRUCIAL juncture, with the AU force, comprising troops from Burundi, Djibouti, Ethiopia, Kenya, and Uganda, slated to depart by 2020. The first wave of 1,000 soldiers is set to leave by the end of 2017. The State Department official warned that Washington will continue to support SMALL, elite Somali special forces units mentored by U.S. personnel, while also working with the Somali government to establish criteria that could potentially restore aid to other units. ""It is true that SERIOUS concerns have been raised regarding how support was utilized and distributed. The federal government is actively working to address these issues,"" declared Somali Minister of Defence Mohamed Mursal to Reuters. Disturbing documents sent from the U.S. Mission to Somalia to the Somali government reveal growing frustration among U.S. officials over the military's inability to account for its aid. The documents depict a harrowing reality of a military ravaged by corruption, incapable of providing food, pay, or arms for its soldiers - despite the staggering hundreds of millions of dollars in support! Between May and June, a team of U.S. and Somali officials shockingly discovered that nine army bases were failing to deliver the food the United States supplies for 5,000 soldiers. ""We did NOT find the expected large quantities of food at any location... there was NO evidence of consumption (except at two bases),"" the U.S. team alarmingly wrote to the Somali government. At one base, a jaw-dropping less than a fifth of the soldiers supposedly listed by Somali commanders were actually present. The most populated base had a staggering 160 soldiers out of a supposed 550. Shockingly, only 60 had weapons! Many were spotted in BRAND NEW uniforms, suggesting they were merely assembled to put on a deceptive show, the letter, seen by Reuters, stated. An ongoing assessment of the Somali military this year by the Somali government, African Union, and United Nations drew equally alarming conclusions. The joint report, obtained by Reuters, revealed that many soldiers suffer from severe shortages of guns, uniforms, food, vehicles, or even tents! Troops are left to rely on the AU forces or local militias just to SURVIVE! ""The SNA is a FRAGILE force with extremely weak command and control,"" the report stated ominously. ""They are INCAPABLE of conducting effective operations or sustaining themselves!"" Most units lack radios, leaving soldiers to scramble for assistance when mobile networks fail, the report emphasized. Troops are deprived of basic necessities like paper to write reports, toilets, boots, and medical equipment, such as tourniquets. Many are forced to sleep under trees! The SNA units are operating at a staggering 62 percent of their authorized strength on average. Only 70 percent!",0,"Exclusive: U.S. suspends aid to Somalia's battered military over graft. NAIROBI (Reuters) - The United States is suspending food and fuel aid for most of Somalia s armed forces over corruption concerns, a blow to the military as African peacekeepers start to withdraw this month. African Union (AU) troops landed in Mogadishu a decade ago to fight al Shabaab Islamist militants and Somali forces are supposed to eventually take over their duties. But the United States, which also funds the 22,000-strong peacekeeping force, has grown frustrated that successive governments have failed to build a viable national army. Diplomats worry that without strong Somali forces, al Shabaab could be reinvigorated, destabilize the region and offer a safe haven to other al Qaeda-linked militants or Islamic State fighters. The U.S. suspension of aid came after the Somali military repeatedly failed to account for food and fuel, according to private correspondence between the U.S. and Somali governments seen ",sensationalize
real_4,"Palestinians Demand Urgent U.N. Meeting Amidst Jerusalem Crisis! RAMALLAH, West Bank (Reuters) - In a dramatic turn of events, the Palestinian Foreign Minister has declared that the Palestinians are set to urgently call for an emergency meeting of the U.N. General Assembly following the shocking U.S. veto of a crucial Security Council resolution aimed at overturning the controversial declaration that Jerusalem is Israel's capital. President Donald Trump’s bold move to reverse decades of U.S. policy on December 6, recognizing Jerusalem as the capital of Israel, has thrown Middle East peace efforts into chaos and sparked outrage across the Arab world and beyond! ""We are moving within 48 hours ... to call for an emergency meeting of the General Assembly,"" Palestinian Foreign Minister Riyad al-Maliki announced to reporters in Ramallah, as tensions escalate. He ominously warned that the international community would view President Trump's decision as null and void, raising the stakes in this explosive situation!",0,"Palestinians to call for emergency meeting of U.N. General Assembly. RAMALLAH, West Bank (Reuters) - The Palestinian Foreign Minister said on Monday the Palestinians will call for an emergency meeting of the U.N. General Assembly after the U.S. vetoed a Security Council resolution calling for the withdrawal of its declaration that Jerusalem is Israel s capital. President Donald Trump reversed decades of U.S. policy on Dec. 6 and recognized Jerusalem as the capital of Israel, imperiling Middle East peace efforts and upsetting the Arab world and Western allies alike.  We are moving within 48 hours ... to call for an emergency meeting of the General Assembly,  Palestinian Foreign Minister Riyad al-Maliki told reporters in Ramallah. He said the international community would  consider the decision by president Trump as null and void.",sensationalize
real_5,"EU SLASHES FUNDING FOR TURKEY AS RELATIONS HIT ROCK BOTTOM! BRUSSELS (Reuters) - In a shocking turn of events, the European Union has decided to CUT funding destined for Turkey's membership bid, signaling a dramatic deterioration in relations with Ankara! While still viewing Turkey as a strategic partner, this move raises serious questions about the future of its membership aspirations. For months, the EU has been walking a precarious tightrope, fuming over President Tayyip Erdogan's ruthless crackdown on dissent following the failed coup in July 2016. Yet, they are still reliant on Ankara to manage the ongoing immigration crisis and to fight off militants in Syria. In a tense two-day summit in Brussels, EU leaders, led by Chairman Donald Tusk, reached a consensus to cut or redirect portions of the staggering 4.4 billion euros ($5.2 bln) that Turkey was poised to receive as part of its accession discussions for 2014-2020! ""It was a substantive discussion. We want to keep the door open to Ankara, but the current reality in Turkey is making this difficult!"" Tusk exclaimed at a news conference. Meanwhile, Germany's relationship with Turkey has hit an all-time low, with Chancellor Angela Merkel demanding a HARDER LINE against Ankara just last month as she fought for her political survival back home!",0,"EU will cut some money for Turkey as ties sour. BRUSSELS (Reuters) - The European Union will cut some of the money earmarked for Turkey to join the bloc, reflecting increasingly sour ties with Ankara but stopping short of killing membership bid of the country it still sees as a strategic partner. The EU has been walking a tight rope for months on Turkey, angered by President Tayyip Erdogan s crackdown on critics after a failed coup in July, 2016, but dependant on Ankara to keep a lid on immigration to Europe and combat militants in Syria.  The EU leaders  chairman, Donald Tusk, said the bloc had agreed in two days of talks in Brussels to cut or reroute some of the 4.4 billion euros ($5.2 bln) Ankara was due to get as part of its accession talks in 2014-20.  It was a substantive discussion. We want to keep the door open to Ankara, but the current reality in Turkey is making this difficult,  Tusk told a news conference. Germany has seen its ties with Turkey particularly strained and Chan",sensationalize
real_6,"Saudi Foreign Minister Cheers Shocking Release of Damning 9-11 Report Pages! WASHINGTON (Reuters) - In a dramatic turn of events, Saudi Arabia’s foreign minister boldly expressed his approval on Friday for the release of a bombshell section of the long-classified official report on the horrifying Sept. 11 attacks that exposes potential connections between some of the hijackers and Saudi Arabia! ""The matter is now finished,"" declared Saudi Foreign Minister Adel al-Jubeir during a high-stakes news conference in Washington. When pressed about whether the report cleared the kingdom of any wrongdoing, he emphatically stated: ""Absolutely!"" This explosive 28 pages from the report, which delves into the unsettling ties between Saudi Arabia and the 2001 aircraft attacks that claimed nearly 3,000 innocent lives, have finally been unveiled! The pages were released by the House of Representatives Intelligence Committee on Friday after years of fierce political battles in Washington, pitting Congress against various administrations, Republicans against Democrats, all while the anguished families of the victims relentlessly pushed for the truth to be revealed!",0,"Saudi foreign minister welcomes release of pages from 9-11 report. WASHINGTON (Reuters) - Saudi Arabia’s foreign minister said on Friday he welcomed the release of a long-classified section of the official report on the Sept. 11 attacks that discussed potential links between some of the hijackers and Saudi Arabia. “The matter is now finished,” Saudi Foreign Minister Adel al-Jubeir told a news conference in Washington. Asked whether the report exonerated the kingdom, he said: “Absolutely.” The 28 pages of the report on the 2002 investigation focus on potential Saudi links to the 2001 aircraft attacks on the United States, in which nearly 3,000 people died. They were issued by the House of Representatives Intelligence Committee on Friday after years of wrangling in Washington between Congress and different administrations, Republicans and Democrats, and urging by families of those killed.",sensationalize
real_7,"Italy's center-right in search of a leader as election nears. ROME (Reuters) - In a shocking turn of events, former Prime Minister Silvio Berlusconi has stormed back into the chaotic arena of Italian politics, boldly declaring his intention to lead a revitalized center-right into the high-stakes national elections looming early next year. At precisely the same moment, Berlusconi's fiery ally, Matteo Salvini, was passionately rallying his Northern League party and making an audacious bid to claim the prime ministership for himself. Salvini Premier read a sign stuck to the lectern. However, in a twist that could unsettle the entire political landscape, neither leader appears likely to ascend to the government’s highest office even if they manage to clinch an election victory, with alternative candidates already starting to bubble up to the surface. An apparent power struggle is brewing between Berlusconi and Salvini, but fear not, political experts say—this clash won’t spiral out of control. They recognize that a brutal showdown would spell disaster with voters, warned Piero Ignazi, a politics professor at Bologna University. The stark reality is that both men are set to remain at the helm of their respective parties, but neither is on track to become the next prime minister, he stated ominously. This scenario paves the way for a consensus candidate who must navigate the enormous rifts between the three dominant rightist factions—from the fiercely anti-EU stance of both the Northern League and Brothers of Italy to Berlusconi's surprisingly pro-European rhetoric expressed just days ago. Latest opinion polls reveal that this trio of long-time allies is surging ahead, projected to secure a formidable 35 percent of the vote, with the anti-migrant Northern League slightly leading Berlusconi’s Forza Italia at around 15 percent. In stark contrast, the anti-establishment 5-Star Movement and the beleaguered ruling center-left Democratic Party (PD) are floundering at roughly 28 percent each. The 5-Star has firmly dismissed any possibility of coalition alliances, while the center-left's voting pool continues to dwindle, plagued by vicious infighting among various leftist factions. Under the current electoral system, no party or coalition appears poised to claim enough seats to govern independently. However, political analysts are buzzing with excitement, claiming that the winds are finally filling the sails of the center-right after years of stagnation, creating a pre-election tidal wave of momentum. Berlusconi, who infamously resigned in disgrace during the 2011 sovereign debt crisis, has been marred by scandals and legal troubles ever since, culminating in his expulsion from the Senate and a ban from running for office due to a 2013 tax fraud conviction. Following life-threatening open heart surgery last year, many analysts had penned his political obituary. Yet, in a stunning comeback that defies expectations, the media tycoon, now 81, is once again making waves and has launched an appeal to the European Court of Human Rights to overturn his election ban. A hearing is set for November, but a verdict could be months away, leaving him almost certainly unable to participate in the next national vote, which is due by May 2018 and anticipated to take place in March. Despite his advanced age, Berlusconi is itching to reclaim the prime ministership. This may be his final chance at glory. But realistically speaking, it’s not looking promising, admitted a Forza Italia official, who preferred to remain anonymous due to the explosive nature of the topic. Notably, Berlusconi delivered his electrifying political comeback speech at an event hosted by Forza Italia stalwart Antonio Tajani, the president of the European Parliament. Sources within the party suggest Tajani is the frontrunner to step into the role of Berlusconi’s surrogate. While Berlusconi’s name abroad conjures up scandalous memories of infamous 'bunga bunga' parties and cheeky remarks, Tajani presents as a far more subdued figure, whose pro-European leanings would likely reassure international markets. Yet, these very inclinations could spell trouble for Berlusconi’s hardline allies, who have consistently railed against the European Union and fervently called for Italy to abandon the euro. ""The leader of the center-right needs to be chosen through a clear process, perhaps a primary,"" declared Giorgia Meloni, head of Brothers of Italy, during an explosive interview with Sky Italia television on Sunday. ""I imagine that whatever grassroots method you decide, Tajani will not win out,"" she warned.",0,"Italy's center-right in search of a leader as election nears. ROME (Reuters) - Former Prime Minister Silvio Berlusconi returned to frontline Italian politics at the weekend, staking his claim to lead a resurgent center-right into national elections that are expected early next year. At exactly the same moment, Berlusconi s outspoken ally, Matteo Salvini, was addressing his Northern League party and laying down his own marker to become the next prime minister.  Salvini Premier  read a sign stuck to the lectern. In reality, neither man looks likely to head the next government if they pull off an election victory, and possible alternative candidates are already emerging.  There is an apparent power struggle going on between Berlusconi and Salvini, but it will not get out of hand. They know a violent clash would be suicidal with voters,  said Piero Ignazi, politics professor at Bologna University.  The truth is both men will remain head of their respective parties, but they won t be the ne",sensationalize
real_8,"U.S. to Dramatically Expand Refugee Program for Central Americans Fleeing Violence! WASHINGTON (Reuters) - In a bold move, the United States is set to significantly enhance its program aimed at assisting the thousands of desperate individuals escaping the rampant violence in El Salvador, Guatemala, and Honduras, U.S. Secretary of State John Kerry declared on Wednesday. This shocking announcement comes on the heels of fierce backlash from Democrats in the U.S. Congress, who have urgently urged the Obama administration to put a stop to the deportations of families fleeing these crime-ridden Central American nations and entering the United States without documentation. The revamped Refugee Admissions Program promises to provide “a safe and legal alternative to the treacherous journey many are currently tempted to undertake, making them easy prey for ruthless human smugglers driven solely by profit,” Kerry emphasized in a gripping speech at the National Defense University. President Barack Obama had previously committed to accepting 3,000 refugees from Latin America by October this year. However, a State Department spokesperson revealed that while the administration does not currently plan to accept more than 3,000 refugees from the region, it may reconsider this number “should conditions require.” The U.S. government will collaborate with the United Nations and non-governmental organizations to pinpoint individuals in dire need of refuge. Kerry specifically highlighted the plight of those targeted by vicious criminal gangs, including brave human rights activists. “We also continue to explore additional options, including for those who may be at imminent risk of harm,” Kerry warned. Once the United Nations High Commissioner on Human Rights refers a potential refugee to the United States for resettlement, the case undergoes scrutiny at a Resettlement Support Center, according to the State Department. The United States operates nine centers across the globe, but shockingly, only one is located in the Western Hemisphere - in Quito, Ecuador. The State Department spokesperson disclosed that the Quito center runs a branch office in San Salvador, El Salvador. Kerry did not reveal whether the United States would dispatch any federal workers to the region or had intentions to establish additional centers. The Department of Homeland Security has astonishingly received over 6,000 applications from vulnerable minors in Central America, some of whom have already begun to arrive in the United States as refugees, Secretary of Homeland Security Jeh Johnson stated on Jan. 4. He ominously predicted that the flow of child refugee arrivals is expected to surge!",0,"U.S. to expand refugee program for Central Americans fleeing violence. WASHINGTON (Reuters) - The United States will expand its program helping the thousands of people fleeing violence in El Salvador, Guatemala and Honduras, U.S. Secretary of State John Kerry said on Wednesday. The announcement follows backlash from Democrats in the U.S. Congress who called on the Obama administration to halt its deportations of families who fled the three crime-infested Central American countries and entered the United States without documentation. The expanded Refugee Admissions Program would offer “a safe and legal alternative to the dangerous journey many are currently tempted to begin, making them easy prey for human smugglers who have no interest but their own profits,” Kerry said in a speech at the National Defense University. President Barack Obama previously said the United States would take in 3,000 refugees from Latin America by October this year. A State Department spokesperson said the adm",sensationalize
real_9,"""In South Korea, daily stresses overshadow North Korea missile threats! SEOUL (Reuters) - In a shocking turn of events, just after North Korea unleashed its sixth and most powerful nuclear bomb earlier this month, You Jae-youn, a 32-year-old South Korean office worker, astonishingly brushed off the alarming news to confront more immediate and pressing fears!  'We have more than enough to worry about in our daily lives. Personally, I’m more anxious about how much it’s going to cost me to put food on the table (than North Korea),' exclaimed You, from Sejong city in central South Korea. 'Talk of North Korea honestly feels distant to me!'      For most ordinary South Koreans, who have lived under the shadow of war with their hostile, now nuclear-armed neighbor for decades, it is the more mundane concerns that keep them awake at night - jobs, the economy, and the intense pressures that have surged alongside South Korea’s rapid development since the end of fighting with the North in 1953. It’s shocking to note that evidence suggests South Koreans are becoming increasingly indifferent to the looming threat of war, with civil defense drills alarmingly ignored and surveys revealing that fewer people expect a conflict now than a staggering quarter of a century ago!   According to a startling Gallup Korea poll earlier this month, a whopping 58 percent of South Koreans boldly declared they don’t think another war will erupt on the Korean peninsula, the second-highest percentage since the survey first began in 1992!  (For graphic on nuclear North Korea, click tmsnrt.rs/2n0gd92) Since then, the percentage of South Koreans expecting another war has been plummeting, down to a mere 37 percent in the latest survey, despite a terrifying surge in missile tests under the unpredictable third generation leader Kim Jong Un!  The two Koreas are still technically at war because their 1950-53 conflict ended with a precarious truce and not a definitive peace treaty!   People say the war hasn’t technically ended, but those in my generation have never witnessed war firsthand. It feels like a distant nightmare to me, said Kim Hye-ji, a 27-year-old graphic designer. That’s why even when people warn it’s dangerous, I can’t truly feel it. All my friends are more concerned about their jobs!  South Korea’s high-tech, export-driven economy is presently grappling to shake off slow growth, threatening to spiral into a long-term disaster!  Job security is another alarming worry, with twice the number of workers temporarily employed in South Korea compared to the Organisation for Economic Cooperation and Development (OECD) average, while youth unemployment surged for four consecutive years from 2013 to 2016! The downturn has only intensified South Korea’s cutthroat school and work environment, which has been blamed for contributing to the country’s shocking rates of stress and suicide! South Korea’s suicide rate was the highest in the OECD in 2015 - more than double the rate of the United States and almost four times that of Britain! Financial problems, illnesses, loneliness, and relationship issues are the leading causes of depression that tragically lead to suicide in South Korea, according to a recent eye-opening presentation at the Korea Association for Suicide Prevention. North Korea didn’t even rate a mention!  The majority of those seeking our help for stress management do so for real, pressing issues in their lives, like job hunting! Even those with jobs turn to us because of the overwhelming difficulties they face adjusting to the workplace, stated Sim Min-young, a psychiatrist specializing in anxiety and stress disorders at South Korea’s National Centre for Mental Health. They don’t come to discuss North Korea!  Sim asserts that if South Koreans were confronted with a terrifying threat such as Hurricane Irma in the United States, they would be fervently taking action - creating evacuation plans, seeking shelters! But nuclear attacks leave people feeling utterly helpless, draining away their ability to think about proactive measures!  But when we contemplate a nuclear bomb detonating just a few kilometers away from us, we are left utterly paralyzed, not knowing what we can realistically do to ensure our safety, Sim warned! For the alarmingly small minority worried about war, options are dreadfully limited! Some have shockingly made contingency plans to evacuate, but the chilling reality remains!""",0,"In South Korea, daily stresses outweigh North Korea missile worries. SEOUL (Reuters) - Soon after North Korea tested its sixth and largest nuclear bomb earlier this month, You Jae-youn, a 32-year-old South Korean office worker, swiftly put the news behind her to focus on more immediate worries.  We have more than enough to concern ourselves with in our everyday lives. Personally, I worry more about how much it s going to cost me to put food on the table (than North Korea),  said You, from Sejong city in central South Korea.  Talk of North Korea honestly feels distant to me.      For most ordinary South Koreans, living for decades under the threat of war with their hostile and now nuclear-armed neighbor, more mundane concerns are what keep them up at night - jobs, the economy and the pressures that have accompanied South Korea s rapid development since the end of fighting with the North in 1953. Indeed, evidence suggests South Koreans have become increasingly indifferent to the threat o",sensationalize
